,Albanian,Arabic,Basque,Bulgarian,Catalan,Chinese,Croatian,Czech,Danish,Dutch,Estonian,English,Finnish,French,Frisian,Friulian,Galician,Greek,German,Hungarian,Irish/Gaelic,Italian,Japanese,Kurdish,Latvian,Lithuanian,Low German,Luxembourgish,Maltese,Occitan,Polish,Portuguese,Romanian,Romany,Russian,Sami,Sardinian,Serbian/Bosnian/Montenegrin,Slovak,Slovenian,Spanish,Swedish,Turkish,Ukrainian,Yiddish,Hindi,Korean,Scottish Gaelic,Urdu,Welsh
Serbian/Bosnian/Montenegrin,0.7531999945640564,1.0,0.9724,0.5764999985694885,0.9236999750137329,1.0,0.0,0.6935999989509583,0.9014000296592712,0.9196000099182129,1.0,0.9196000099182129,1.0,0.930400013923645,0.9086999893188477,0.927299976348877,0.927299976348877,0.8919000029563904,0.9014000296592712,1.0,0.9086999893188477,0.9196000099182129,1.0,0.9014000296592712,0.7124999761581421,0.7124999761581421,0.9146999716758728,0.9014000296592712,1.0,0.927299976348877,0.6614000201225281,0.927299976348877,0.9146999716758728,0.8790000081062317,0.6161999702453613,1.0,0.8919000029563904,0.0,0.6614000201225281,0.35899999737739563,0.930400013923645,0.9014000296592712,1.0,0.6614000201225281,0.9086999893188477,0.9086999893188477,1.0,0.9086999893188477,0.9086999893188477,0.9014000296592712
Slovak,0.704800009727478,1.0,0.9766,0.6309999823570251,0.9096999764442444,1.0,0.6614000201225281,0.2676999866962433,0.8830999732017517,0.904699981212616,1.0,0.904699981212616,1.0,0.9175999760627747,0.8919000029563904,0.9139000177383423,0.9139000177383423,0.8718000054359436,0.8830999732017517,1.0,0.8919000029563904,0.904699981212616,1.0,0.8830999732017517,0.6545000076293945,0.6545000076293945,0.8988999724388123,0.8830999732017517,1.0,0.9139000177383423,0.4097000062465668,0.9139000177383423,0.8988999724388123,0.8564000129699707,0.5318999886512756,1.0,0.8718000054359436,0.6614000201225281,0.00019999999494757503,0.5903000235557556,0.9175999760627747,0.8830999732017517,1.0,0.5903000235557556,0.8919000029563904,0.8919000029563904,1.0,0.8919000029563904,0.8919000029563904,0.8830999732017517
Slovenian,0.704800009727478,1.0,0.9766,0.4787999987602234,0.9096999764442444,1.0,0.35899999737739563,0.6309999823570251,0.8830999732017517,0.904699981212616,1.0,0.904699981212616,1.0,0.9175999760627747,0.8919000029563904,0.9139000177383423,0.9139000177383423,0.8718000054359436,0.8830999732017517,1.0,0.8919000029563904,0.904699981212616,1.0,0.8830999732017517,0.6545000076293945,0.6545000076293945,0.8988999724388123,0.8830999732017517,1.0,0.9139000177383423,0.5903000235557556,0.9139000177383423,0.8988999724388123,0.8564000129699707,0.5318999886512756,1.0,0.8718000054359436,0.35899999737739563,0.5903000235557556,0.00019999999494757503,0.9175999760627747,0.8830999732017517,1.0,0.5903000235557556,0.8919000029563904,0.8919000029563904,1.0,0.8919000029563904,0.8919000029563904,0.8830999732017517
Spanish,0.8136000037193298,1.0,0.9638,0.9247999787330627,0.2676999866962433,1.0,0.930400013923645,0.9247999787330627,0.9247999787330627,0.9386000037193298,1.0,0.9386000037193298,1.0,0.460099995136261,0.930400013923645,0.4269999861717224,0.18639999628067017,0.9175999760627747,0.9247999787330627,1.0,0.930400013923645,0.5295000076293945,1.0,0.9247999787330627,0.8934000134468079,0.8934000134468079,0.9348999857902527,0.9247999787330627,1.0,0.3276999890804291,0.9175999760627747,0.18639999628067017,0.5803999900817871,0.907800018787384,0.907800018787384,1.0,0.5533000230789185,0.930400013923645,0.9175999760627747,0.9175999760627747,0.00019999999494757503,0.9247999787330627,1.0,0.9175999760627747,0.930400013923645,0.930400013923645,1.0,0.930400013923645,0.930400013923645,0.9247999787330627
Swedish,0.7322999835014343,1.0,0.9744,0.8934000134468079,0.9175999760627747,1.0,0.9014000296592712,0.8934000134468079,0.37290000915527344,0.7322999835014343,1.0,0.7322999835014343,1.0,0.9247999787330627,0.6935999989509583,0.9214000105857849,0.9214000105857849,0.8830999732017517,0.666700005531311,1.0,0.9014000296592712,0.913100004196167,1.0,0.8934000134468079,0.8485000133514404,0.8485000133514404,0.714900016784668,0.666700005531311,1.0,0.9214000105857849,0.8830999732017517,0.9214000105857849,0.907800018787384,0.8690999746322632,0.8690999746322632,1.0,0.8830999732017517,0.9014000296592712,0.8830999732017517,0.8830999732017517,0.9247999787330627,0.00019999999494757503,1.0,0.8830999732017517,0.6935999989509583,0.9014000296592712,1.0,0.9014000296592712,0.9014000296592712,0.8934000134468079
Turkish,1.0,1.0,0.9744,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.00019999999494757503,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Ukrainian,0.704800009727478,1.0,0.9766,0.6309999823570251,0.9096999764442444,1.0,0.6614000201225281,0.6309999823570251,0.8830999732017517,0.904699981212616,1.0,0.904699981212616,1.0,0.9175999760627747,0.8919000029563904,0.9139000177383423,0.9139000177383423,0.8718000054359436,0.8830999732017517,1.0,0.8919000029563904,0.904699981212616,1.0,0.8830999732017517,0.6545000076293945,0.6545000076293945,0.8988999724388123,0.8830999732017517,1.0,0.9139000177383423,0.5903000235557556,0.9139000177383423,0.8988999724388123,0.8564000129699707,0.295199990272522,1.0,0.8718000054359436,0.6614000201225281,0.5903000235557556,0.5903000235557556,0.9175999760627747,0.8830999732017517,1.0,0.00019999999494757503,0.8919000029563904,0.8919000029563904,1.0,0.8919000029563904,0.8919000029563904,0.8830999732017517
Yiddish,0.7531999945640564,1.0,0.9724,0.9014000296592712,0.9236999750137329,1.0,0.9086999893188477,0.9014000296592712,0.6935999989509583,0.6638000011444092,1.0,0.6638000011444092,1.0,0.930400013923645,0.6128000020980835,0.927299976348877,0.927299976348877,0.8919000029563904,0.5764999985694885,1.0,0.9086999893188477,0.9196000099182129,1.0,0.9014000296592712,0.8600000143051147,0.8600000143051147,0.640999972820282,0.5764999985694885,1.0,0.927299976348877,0.8919000029563904,0.927299976348877,0.9146999716758728,0.8790000081062317,0.8790000081062317,1.0,0.8919000029563904,0.9086999893188477,0.8919000029563904,0.8919000029563904,0.930400013923645,0.6935999989509583,1.0,0.8919000029563904,0.0,0.9086999893188477,1.0,0.9086999893188477,0.9086999893188477,0.9014000296592712
Hindi,0.7531999945640564,1.0,0.9724,0.9014000296592712,0.9236999750137329,1.0,0.9086999893188477,0.9014000296592712,0.9014000296592712,0.9196000099182129,1.0,0.9196000099182129,1.0,0.930400013923645,0.9086999893188477,0.927299976348877,0.927299976348877,0.8919000029563904,0.9014000296592712,1.0,0.9086999893188477,0.9196000099182129,1.0,0.8003000020980835,0.8600000143051147,0.8600000143051147,0.9146999716758728,0.9014000296592712,1.0,0.927299976348877,0.8919000029563904,0.927299976348877,0.9146999716758728,0.4544000029563904,0.8790000081062317,1.0,0.8919000029563904,0.9086999893188477,0.8919000029563904,0.8919000029563904,0.930400013923645,0.9014000296592712,1.0,0.8919000029563904,0.9086999893188477,0.0,1.0,0.9086999893188477,0.0,0.9014000296592712
Korean,1.0,1.0,0.9896,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
Scottish Gaelic,0.7531999945640564,1.0,0.9724,0.9014000296592712,0.9236999750137329,1.0,0.9086999893188477,0.9014000296592712,0.9014000296592712,0.9196000099182129,1.0,0.9196000099182129,1.0,0.930400013923645,0.9086999893188477,0.927299976348877,0.927299976348877,0.8919000029563904,0.9014000296592712,1.0,0.34450000524520874,0.9196000099182129,1.0,0.9014000296592712,0.8600000143051147,0.8600000143051147,0.9146999716758728,0.9014000296592712,1.0,0.927299976348877,0.8919000029563904,0.927299976348877,0.9146999716758728,0.8790000081062317,0.8790000081062317,1.0,0.8919000029563904,0.9086999893188477,0.8919000029563904,0.8919000029563904,0.930400013923645,0.9014000296592712,1.0,0.8919000029563904,0.9086999893188477,0.9086999893188477,1.0,0.0,0.9086999893188477,0.4390000104904175
Urdu,0.7531999945640564,1.0,0.9724,0.9014000296592712,0.9236999750137329,1.0,0.9086999893188477,0.9014000296592712,0.9014000296592712,0.9196000099182129,1.0,0.9196000099182129,1.0,0.930400013923645,0.9086999893188477,0.927299976348877,0.927299976348877,0.8919000029563904,0.9014000296592712,1.0,0.9086999893188477,0.9196000099182129,1.0,0.8003000020980835,0.8600000143051147,0.8600000143051147,0.9146999716758728,0.9014000296592712,1.0,0.927299976348877,0.8919000029563904,0.927299976348877,0.9146999716758728,0.4544000029563904,0.8790000081062317,1.0,0.8919000029563904,0.9086999893188477,0.8919000029563904,0.8919000029563904,0.930400013923645,0.9014000296592712,1.0,0.8919000029563904,0.9086999893188477,0.0,1.0,0.9086999893188477,0.0,0.9014000296592712
Welsh,0.7322999835014343,1.0,0.9744,0.8934000134468079,0.9175999760627747,1.0,0.9014000296592712,0.8934000134468079,0.8934000134468079,0.913100004196167,1.0,0.913100004196167,1.0,0.9247999787330627,0.9014000296592712,0.9214000105857849,0.9214000105857849,0.8830999732017517,0.8934000134468079,1.0,0.4390000104904175,0.913100004196167,1.0,0.8934000134468079,0.8485000133514404,0.8485000133514404,0.907800018787384,0.8934000134468079,1.0,0.9214000105857849,0.8830999732017517,0.9214000105857849,0.907800018787384,0.8690999746322632,0.8690999746322632,1.0,0.8830999732017517,0.9014000296592712,0.8830999732017517,0.8830999732017517,0.9247999787330627,0.8934000134468079,1.0,0.8830999732017517,0.9014000296592712,0.9014000296592712,1.0,0.4390000104904175,0.9014000296592712,0.00019999999494757503
