BE,BG,CZ,DK,DE,EE,IE,EL,ES,FR,HR,IT,CY,LV,LT,LU,HU,MT,NL,AT,PL,PT,RO,SI,SK,FI,SE,language
5.737234652897303e-4,0,0,0.0010460251046025104,0.0030452988199467074,5.411255411255411e-4,0,0.008888888888888889,0,0,0,0.0013540961408259986,0,0,0,0.001998001998001998,0,0,0,0.0019305019305019305,0,0,0,0.004177545691906005,0,0,0,Albanian
0.010327022375215147,0,0,0.0041841004184100415,0.00951655881233346,0,7.293946024799417e-4,6.349206349206349e-4,0.0070242656449553,0.022803487592219986,0,0.0013540961408259986,0.002242152466367713,5.178663904712584e-4,0,0.005994005994005994,0,0.0031023784901758012,0.0034602076124567475,0.001287001287001287,0,6.734006734006734e-4,0,0,0,5.399568034557236e-4,0.004318618042226488,Arabic
0,0,0,0,0,0,0,0,0.012132822477650063,0.0013413816230717639,0,6.770480704129993e-4,0,5.178663904712584e-4,0,9.99000999000999e-4,0,0,0,0,0.0015082956259426848,6.734006734006734e-4,0,0,0,0,0,Basque
0.0011474469305794606,0.6327044025157232,6.188118811881188e-4,0,0.001903311762466692,0,0.0014587892049598833,0.0019047619047619048,0.001277139208173691,0,0.0018820577164366374,0.003385240352064997,0.005605381165919282,0,0,0,0,0.002068252326783868,4.943153732081067e-4,0.0032175032175032173,0,6.734006734006734e-4,0,0,0,0,4.798464491362764e-4,Bulgarian
0,0,0,0,0,0,0,0,0.09770114942528736,0.00335345405767941,0,0.005416384563303994,0,5.178663904712584e-4,0,0,0,0,0,0,0,0.0013468013468013469,7.22543352601156e-4,0,0,0,0,Catalan
0.0011474469305794606,0,0.0024752475247524753,0.0010460251046025104,0.0011419870574800152,5.411255411255411e-4,0.00437636761487965,0,6.385696040868455e-4,6.706908115358819e-4,6.273525721455458e-4,0.003385240352064997,0,0.0010357327809425167,0,9.99000999000999e-4,0,0,4.943153732081067e-4,6.435006435006435e-4,0,0,0,0,0,0,0,Chinese
0,0,0.0018564356435643563,0,0.0030452988199467074,0,0.0036469730123997084,0,0,6.706908115358819e-4,0.5991217063989962,0.0013540961408259986,0,0,0,9.99000999000999e-4,0.0021474588403722263,0,4.943153732081067e-4,0.005791505791505791,0,6.734006734006734e-4,0,0.11331592689295039,5.793742757821553e-4,0,9.596928982725527e-4,Croatian
0,0,0.5977722772277227,5.230125523012552e-4,7.613247049866769e-4,0,0,0,0,6.706908115358819e-4,0.0012547051442910915,0.004062288422477996,0,0,0,9.99000999000999e-4,0,0,0,0.005148005148005148,7.541478129713424e-4,6.734006734006734e-4,0,0,0.07531865585168018,5.399568034557236e-4,0,Czech
0,0,0,0.4989539748953975,0.001903311762466692,5.411255411255411e-4,0,0,0,0,0.0037641154328732747,0,0,0,0,0.001998001998001998,0,0,0,0.001287001287001287,0,0,0,0,0,0,0.0033589251439539347,Danish
0.3384968445209409,6.289308176100629e-4,0,0.0031380753138075313,0.0026646364674533687,0,0.002188183807439825,0,0.001277139208173691,0,0,0,0,0,0,0.007992007992007992,0.0021474588403722263,0,0.4972812654473554,0.001287001287001287,0,6.734006734006734e-4,0,0,0,0.0010799136069114472,0.0023992322456813818,Dutch
5.737234652897303e-4,6.289308176100629e-4,0,0,0.0011419870574800152,0.45454545454545453,7.293946024799417e-4,0,0,0,6.273525721455458e-4,0,0,0.002589331952356292,0,0,0,0,0,0,0,0,7.22543352601156e-4,0,0,0.0021598272138228943,9.596928982725527e-4,Estonian
0.24039013195639702,0.1610062893081761,0.21349009900990099,0.42782426778242677,0.33269889607917774,0.2104978354978355,0.687819110138585,0.3047619047619048,0.18135376756066413,0.23138832997987926,0.25094102885821834,0.22207176709546378,0.4316143497757848,0.1367167270844122,0.16586666666666666,0.12287712287712288,0.19899785254115962,0.45087900723888313,0.42016806722689076,0.31724581724581724,0.21040723981900453,0.25925925925925924,0.1791907514450867,0.2391644908616188,0.17902665121668598,0.3855291576673866,0.42994241842610365,English
0,0,6.188118811881188e-4,5.230125523012552e-4,0,0.023268398268398268,0,0,0,0.002012072434607646,6.273525721455458e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5264578833693304,0.0067178502879078695,Finnish
0.3172690763052209,0.008176100628930818,0.008663366336633664,0.005753138075313808,0.010277883517320136,0,0.05032822757111598,0.008888888888888889,0.02554278416347382,0.6445338698859826,0.008155583437892095,0.027758970886932972,0.007847533632286996,0.0015535991714137752,0.0010666666666666667,0.28471528471528473,0.002863278453829635,0.005170630816959669,0.008403361344537815,0.009009009009009009,0.0015082956259426848,0.028282828282828285,0.018063583815028903,0.0020887728459530026,0,0.0021598272138228943,0.0033589251439539347,French
0,0,6.188118811881188e-4,0,3.8066235249333843e-4,0,0,0,0,0,0.0012547051442910915,6.770480704129993e-4,0,0,0,0,0,0,0.007909045971329708,0,0,0,0,0,0,0,0,Frisian
0.0011474469305794606,0,0,0,0,0,0,0,0,0,0.0012547051442910915,6.770480704129993e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Friulian
0,0,0,5.230125523012552e-4,0.0011419870574800152,0,0,0,0.038952745849297574,0,0,0,0,0,0,9.99000999000999e-4,0,0,0,0,0,0,0,0,0,0,0,Galician
0.002294893861158921,0.005660377358490566,0,5.230125523012552e-4,3.8066235249333843e-4,0,0,0.6292063492063492,6.385696040868455e-4,0,0.0012547051442910915,6.770480704129993e-4,0.5269058295964125,0,0,0.002997002997002997,0,0.002068252326783868,0,0.001287001287001287,0,0,0,0,0,0,0,Greek
0.01549053356282272,0.01761006289308176,0.06311881188118812,0.045502092050209206,0.5641416063951276,0.008116883116883116,0.02188183807439825,0.013333333333333334,0.002554278416347382,0.01609657947686117,0.035759096612296114,0.014895057549085985,0.004484304932735426,0.005178663904712584,0.013866666666666666,0.14685314685314685,0.05368647100930565,0.001034126163391934,0.043499752842313395,0.5875160875160875,0.021870286576168928,0.003367003367003367,0.007947976878612716,0.05796344647519582,0.05388180764774044,0.005939524838012959,0.020633397312859885,German
5.737234652897303e-4,0,0.0018564356435643563,5.230125523012552e-4,3.8066235249333843e-4,5.411255411255411e-4,0.0036469730123997084,0,6.385696040868455e-4,0,0,0,0,0,0,0,0.7122405153901217,0.001034126163391934,0,0.007078507078507079,0,0,0.05491329479768786,5.221932114882506e-4,0.09154113557358054,5.399568034557236e-4,9.596928982725527e-4,Hungarian
0,0,0,0,0,0.0010822510822510823,0.11816192560175055,0,0,0,0,0,0,0,0,9.99000999000999e-4,0,0,0,0,0,0,0,0,0,0,0,Irish/Gaelic
0.019506597819850834,0.0018867924528301887,0.0049504950495049506,5.230125523012552e-4,0.00723258469737343,0.0021645021645021645,0.006564551422319475,0.0031746031746031746,0.006385696040868455,0.014084507042253521,0.015683814303638646,0.6696005416384563,0,0.0010357327809425167,0,0.025974025974025976,0.0035790980672870437,0.027921406411582212,4.943153732081067e-4,0.01673101673101673,0.004524886877828055,6.734006734006734e-4,0.011560693641618497,0.025065274151436032,0.0028968713789107765,0.0010799136069114472,0.0047984644913627635,Italian
0,0,0,0,0,5.411255411255411e-4,7.293946024799417e-4,0,0,0,6.273525721455458e-4,6.770480704129993e-4,0.0011210762331838565,0.0010357327809425167,0.0010666666666666667,0,7.158196134574087e-4,0,0,6.435006435006435e-4,0,0,0,0,0,0,0,Japanese
0.0011474469305794606,0,0,0,0.0015226494099733537,0,0,0,0,0,0,0,0,0,0,0,0,0,9.886307464162135e-4,6.435006435006435e-4,0,0,0,0,0,0,0.0014395393474088292,Kurdish
0,0,0,0,3.8066235249333843e-4,0.0010822510822510823,0.0029175784099197666,0,0,0,0,0,0,0.4577938891765924,0.0021333333333333334,0,0,0,0,0,0,0,0,0,0,0,0,Latvian
0,0,0,0,0,0.0010822510822510823,0.010211524434719184,0,0,0,0,0,0,0.007767995857068877,0.52,0.001998001998001998,0,0,0,6.435006435006435e-4,0.0015082956259426848,0,0,0,0,0,0,Lithuanian
0.006310958118187034,0,0,0,0.0015226494099733537,0,0,6.349206349206349e-4,0,0,0.0012547051442910915,0.0013540961408259986,0.0011210762331838565,0,0,0,0.0035790980672870437,0,0.004448838358872961,6.435006435006435e-4,0,0,0,0.0010443864229765013,5.793742757821553e-4,0,0,Low German
